gas_valve_position_percent,measured_ch4_percent,voltage,diesel_mass_flow,water_flow,ch4_volumeflow_raw,current_phase_1,current_phase_2,power_output,boost_pressure,exhaust_pressure,ch4_volumeflow,co2_volumeflow_raw,co2_volumeflow_processed,generator_frequency,cooling_water_out_temp,cooling_water_in_temp,exhaust_temp,calculated_ch4_share_percent,ch4_mass_flow_calc,des_percent,efficiency_electric,efficiency_thermal,sheet
22.2,51.45,230.421,0.356,4.858,64.982,2.91,2.955,2.019,0.891,2.081,42.8,18.437,0.0,52.914,100.0,4.086,172.18,100.0,2.784942857142857,9.836933908967202,4.703495146694815,75.62213359672688,P2C70
22.2,51.651,230.831,0.371,4.699,64.886,2.907,2.951,2.023,0.896,2.084,42.8,18.423,0.0,52.893,100.0,4.119,172.178,99.99999999999999,2.780828571428571,10.222657502221537,4.699594744072858,72.91679275636947,P2C70
22.2,53.084,230.404,0.355,5.175,64.936,2.905,2.954,2.02,0.899,2.111,42.8,18.436,0.0,52.838,100.0,4.257,172.15,100.0,2.782971428571429,9.818281599532726,4.710132519167595,80.48670968618543,P2C70
,,,,,,,,,,1.2117500000000005,,,,,,,,,,,,,P2C70
26.2,51.815,230.257,0.383,2.533,71.843,5.896,5.984,4.174,0.917,1.973,47.4,20.632,0.0,52.993,100.0,12.247,202.509,100.0,3.0789857142857144,9.59771560774971,8.818529531327938,32.71643113158804,P4C70
26.2,51.783,230.667,0.39,2.57,72.023,5.891,5.987,4.182,0.908,1.999,47.4,20.665,0.0,52.897,100.0,11.451,202.184,100.0,3.0867000000000004,9.734008357849994,8.800062609085645,33.3613448341814,P4C70
26.2,51.713,230.24,0.355,2.682,72.088,5.874,5.99,4.176,0.893,1.992,47.4,20.709,0.0,52.889,100.0,10.643,202.227,100.0,3.0894857142857144,8.931187507969382,8.857598081591748,35.41341955218554,P4C70
26.2,51.635,230.618,0.382,2.894,72.268,5.88,5.988,4.184,0.904,1.981,47.4,20.763,0.0,52.964,100.0,10.473,201.873,100.0,3.0972,9.524108921790809,8.794826821951633,37.941387282567376,P4C70
26.2,51.569,230.257,0.371,2.925,72.291,5.879,5.986,4.175,0.898,1.992,47.4,20.804,0.0,52.772,100.0,10.252,202.263,100.0,3.0981857142857145,9.272615000591863,8.79750301160202,38.53706410553975,P4C70
26.2,51.594,230.601,0.399,3.05,72.3,5.89,5.992,4.183,0.889,1.997,47.4,20.812,0.0,52.914,100.0,9.99,202.527,100.0,3.0985714285714288,9.902020222651423,8.752122820450612,40.01669078632408,P4C70
26.2,51.499,230.404,0.394,3.08,72.282,5.89,5.989,4.178,0.884,2.002,47.4,20.845,0.0,52.946,100.0,9.618,202.407,100.0,3.0978000000000003,9.792282065032444,8.754488051673222,40.6368479410126,P4C70
26.2,51.495,230.684,0.386,2.938,72.216,5.887,5.985,4.181,0.878,1.999,47.5,20.849,0.0,52.859,100.0,9.494,202.418,100.0,3.0949714285714287,9.620506469000409,8.785478587130756,38.925970674659965,P4C70
26.2,51.549,230.322,0.397,2.971,72.299,5.888,5.985,4.177,0.895,2.008,47.4,20.835,0.0,52.887,100.0,9.533,202.103,100.0,3.098528571428571,9.857401516961401,8.744017962048616,39.19804776686343,P4C70
26.2,51.585,230.7,0.387,3.569,72.25,5.896,5.989,4.181,0.886,1.995,47.4,20.791,0.0,52.761,100.0,9.356,202.847,100.0,3.0964285714285715,9.638926181710962,8.779554570172326,47.32634403767665,P4C70
26.2,51.59,230.273,0.39,3.515,72.061,5.885,5.985,4.178,0.884,2.004,47.4,20.775,0.0,52.92,100.0,9.043,202.482,100.0,3.088328571428572,9.729374726510786,8.787460480784448,46.84696258082779,P4C70
26.2,51.585,230.634,0.37,3.47,71.888,5.889,5.986,4.18,0.877,2.007,47.4,20.754,0.0,52.711,100.0,8.715,202.975,100.0,3.0809142857142864,9.296967008285192,8.855038897441329,46.74854705604455,P4C70
26.2,51.651,230.404,0.402,3.84,72.177,5.895,5.979,4.178,0.087,2.078,47.4,20.697,0.0,52.82,100.0,8.57,202.439,100.0,3.0933000000000006,9.984341903735748,8.74855754632625,51.21686513057494,P4C70
26.2,51.594,233.46,0.392,3.832,71.847,5.913,5.985,4.18,0.901,2.026,47.4,20.647,0.0,52.78,100.0,8.564,203.327,100.0,3.0791571428571425,9.800652313908653,8.810890886805034,51.45306994150781,P4C70
26.2,51.302,230.519,0.383,3.461,71.602,5.889,5.987,4.182,0.885,1.997,47.4,20.577,0.0,52.869,100.0,8.482,203.008,100.0,3.068657142857143,9.626909963667103,8.862306998550881,46.76230532061726,P4C70
26.2,51.967,230.569,0.396,3.87,71.928,5.875,5.991,4.179,0.901,1.987,47.4,20.501,0.0,52.82,100.0,8.429,203.089,100.0,3.0826285714285713,9.880729833096535,8.791051729297514,51.93527287120443,P4C70
26.2,51.914,230.47,0.374,4.307,71.713,5.885,5.979,4.182,0.881,2.008,47.4,20.405,0.0,52.759,100.0,8.469,203.215,99.99999999999999,3.073414285714285,9.408793018309057,8.869945813300511,58.25122308625512,P4C70
26.2,51.91,230.651,0.395,4.293,71.655,5.868,5.988,4.18,0.887,1.985,47.4,20.312,0.0,52.932,100.0,8.469,202.932,100.0,3.0709285714285715,9.892082002310456,8.825544717088176,57.79887229191054,P4C70
26.2,51.967,230.421,0.384,4.371,71.607,5.881,5.987,4.181,0.901,2.002,47.4,20.282,0.0,52.784,100.0,8.334,203.672,100.00000000000001,3.0688714285714296,9.649011239015415,8.857402515439865,59.13441871659205,P4C70
26.2,51.93,230.503,0.379,4.288,71.425,5.879,5.991,4.179,0.884,1.988,47.5,20.269,0.0,52.948,100.0,8.34,203.471,99.99999999999999,3.0610714285714278,9.557328237131008,8.88473110741899,58.214554523189975,P4C70
,,,,,,,,,,1.1490000000000002,,,,,,,,,,,,,P4C70
29.5,52.222,230.536,0.411,5.263,77.618,8.674,8.499,5.91,0.912,1.917,51.4,21.635,0.0,52.895,100.0,100.0,234.366,100.0,3.326485714285714,9.539239761636159,11.564691428831884,0.0,P6C70_1
29.5,52.062,230.946,0.414,5.476,77.508,8.69,8.504,5.918,0.906,1.925,51.4,21.713,0.0,52.694,100.0,100.0,234.763,100.0,3.3217714285714286,9.614500580629294,11.587132560057869,0.0,P6C70_1
29.5,51.729,230.569,0.42,5.481,77.74,8.683,8.5,5.911,0.909,1.915,51.4,21.858,0.0,52.83,100.0,100.0,235.134,100.0,3.3317142857142854,9.7140247387049,11.526182716055802,0.0,P6C70_1
29.5,51.91,230.831,0.425,5.205,78.115,8.434,8.498,5.919,0.888,1.924,51.4,22.154,0.0,52.767,100.0,100.0,234.756,100.0,3.347785714285714,9.775787457831491,11.47851712172236,0.0,P6C70_1
29.5,52.169,230.47,0.412,5.299,78.433,8.424,8.503,5.909,0.898,1.927,51.4,22.375,0.0,52.782,100.0,100.0,234.753,100.0,3.361414285714286,9.470297850652479,11.45130647314862,0.0,P6C70_1
29.5,51.951,230.799,0.417,5.335,78.462,8.445,8.496,5.918,0.906,1.908,51.3,22.448,0.0,52.895,100.0,100.0,234.849,100.0,3.362657142857143,9.571024917487284,11.45175316395594,0.0,P6C70_1
29.5,51.947,230.634,0.393,5.611,78.321,8.661,8.5,5.911,0.878,1.927,51.4,22.443,0.0,52.836,100.0,100.0,235.142,100.0,3.3566142857142856,9.084982794834856,11.520389001970536,0.0,P6C70_1
29.5,53.138,230.848,0.415,5.563,78.544,8.458,8.499,5.923,0.923,1.931,51.3,22.41,0.0,53.033,100.0,100.0,234.486,100.0,3.366171428571429,9.520493533616719,11.455860699111346,0.0,P6C70_1
